Price Range,15-19,20-24,25-34,35-44,45-54,55-64,65-74,75-84,85+,Total,Suburb
"$2,000-$2,999",0,0,9,4,5,4,3,0,6,25,Barrabool
"$3,000-$3,499",0,0,0,4,0,0,3,0,0,8,Barrabool
"$3,500 or more",0,0,0,6,6,10,4,0,0,22,Barrabool
Personal income not stated,0,0,4,0,3,3,3,0,0,21,Barrabool
Total,23,7,22,32,30,42,31,9,3,204,Barrabool
Negative/Nil income,66,7,13,10,22,21,16,11,0,175,Yarra Junction
$1-$149,26,4,6,3,10,4,12,4,0,81,Yarra Junction
$150-$299,16,8,12,13,8,21,19,6,0,104,Yarra Junction
$300-$399,4,5,8,16,18,37,54,55,6,210,Yarra Junction
$400-$499,4,8,18,18,29,31,83,65,56,319,Yarra Junction
$500-$649,13,18,27,23,31,20,47,25,11,221,Yarra Junction
$650-$799,6,22,25,29,26,24,24,13,4,162,Yarra Junction
$800-$999 ,5,24,42,26,39,33,19,8,0,197,Yarra Junction
"$1,000-$1,249",0,19,52,33,44,33,15,7,0,194,Yarra Junction
"$1,250-$1,499",0,6,29,46,29,22,8,0,4,147,Yarra Junction
"$1,500-$1,749",0,4,30,29,32,12,3,3,0,112,Yarra Junction
"$1,750-$1,999",0,0,13,13,18,3,3,0,0,55,Yarra Junction
"$2,000-$2,999",0,0,13,26,23,15,5,0,0,86,Yarra Junction
"$3,000-$3,499",0,0,5,8,0,4,0,0,0,25,Yarra Junction
"$3,500 or more",0,0,3,5,6,6,3,0,0,21,Yarra Junction
Personal income not stated,18,10,27,34,49,34,35,23,11,235,Yarra Junction
Total,156,144,314,331,370,337,359,216,99,2329,Yarra Junction
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Culla
$1-$149,0,0,0,0,0,0,0,0,0,0,Culla
$150-$299,0,0,0,0,0,0,0,0,0,0,Culla
$300-$399,0,0,0,0,0,0,0,0,0,0,Culla
$400-$499,0,0,0,0,0,0,0,0,0,0,Culla
$500-$649,0,0,0,0,0,0,0,0,0,0,Culla
$650-$799,0,0,0,0,0,0,0,0,0,6,Culla
$800-$999 ,0,4,0,0,0,0,0,0,0,6,Culla
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Culla
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,3,Culla
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,4,Culla
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Culla
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Culla
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Culla
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Culla
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Culla
Total,3,4,5,0,5,3,8,0,0,31,Culla
Negative/Nil income,3,0,0,0,0,0,0,0,0,4,Moglonemby
$1-$149,0,0,0,0,0,0,0,0,0,0,Moglonemby
$150-$299,0,0,0,0,0,0,0,0,0,0,Moglonemby
$300-$399,0,0,0,0,0,0,0,0,0,0,Moglonemby
$400-$499,0,0,0,0,0,0,0,0,0,0,Moglonemby
$500-$649,0,0,0,0,0,0,0,0,0,4,Moglonemby
$650-$799,0,0,0,0,0,0,0,0,0,6,Moglonemby
$800-$999 ,0,0,0,0,0,3,0,0,0,0,Moglonemby
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Moglonemby
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Moglonemby
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Moglonemby
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Moglonemby
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Moglonemby
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Moglonemby
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Moglonemby
Personal income not stated,0,0,0,0,0,0,0,0,0,8,Moglonemby
Total,4,0,6,0,3,7,3,3,0,26,Moglonemby
Negative/Nil income,9,0,0,0,0,9,4,0,0,26,Derrinallum
$1-$149,0,0,0,5,0,0,0,0,0,4,Derrinallum
$150-$299,0,0,4,4,0,3,0,3,0,24,Derrinallum
$300-$399,0,0,0,0,4,16,15,14,0,43,Derrinallum
$400-$499,0,0,4,4,0,12,15,10,6,43,Derrinallum
$500-$649,0,0,0,3,4,3,5,4,0,25,Derrinallum
$650-$799,0,4,0,0,3,3,6,8,0,25,Derrinallum
$800-$999 ,0,3,3,7,9,8,0,0,0,31,Derrinallum
"$1,000-$1,249",0,0,8,10,6,4,4,0,0,30,Derrinallum
"$1,250-$1,499",0,0,0,0,4,3,0,0,0,15,Derrinallum
"$1,500-$1,749",0,0,4,4,0,0,0,0,0,12,Derrinallum
"$1,750-$1,999",0,0,0,0,5,3,0,0,0,10,Derrinallum
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,5,Derrinallum
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Derrinallum
"$3,500 or more",0,0,0,5,3,0,0,0,0,10,Derrinallum
Personal income not stated,4,0,3,3,4,4,7,0,0,37,Derrinallum
Total,16,8,30,32,38,85,61,43,14,327,Derrinallum
Negative/Nil income,0,0,0,0,0,6,0,0,0,10,Paraparap
$1-$149,0,0,0,0,0,0,0,0,0,8,Paraparap
$150-$299,0,0,0,0,0,3,0,0,0,7,Paraparap
$300-$399,0,0,0,0,0,0,0,0,0,3,Paraparap
$400-$499,0,0,0,0,0,3,0,0,0,9,Paraparap
$500-$649,3,0,0,0,0,0,0,0,0,3,Paraparap
$650-$799,0,0,0,0,0,0,3,0,0,10,Paraparap
$800-$999 ,0,0,0,0,0,0,5,0,0,6,Paraparap
"$1,000-$1,249",0,0,0,0,9,4,6,0,0,14,Paraparap
"$1,250-$1,499",0,0,0,0,0,4,0,0,0,11,Paraparap
"$1,500-$1,749",0,0,3,3,0,0,0,0,0,12,Paraparap
"$1,750-$1,999",0,0,0,3,0,0,0,0,0,4,Paraparap
"$2,000-$2,999",0,0,0,5,8,7,0,0,0,16,Paraparap
"$3,000-$3,499",0,0,0,0,0,4,0,0,0,6,Paraparap
"$3,500 or more",0,0,0,5,3,0,0,0,0,5,Paraparap
Personal income not stated,0,0,0,0,0,0,0,0,0,6,Paraparap
Total,9,7,7,25,24,33,19,0,5,133,Paraparap
Negative/Nil income,4,0,0,0,0,0,0,0,0,10,Ensay
$1-$149,0,0,0,0,3,0,0,0,0,8,Ensay
$150-$299,0,0,0,0,3,0,0,0,0,8,Ensay
$300-$399,0,0,0,0,3,9,6,0,0,18,Ensay
$400-$499,0,3,0,0,0,3,8,4,0,16,Ensay
$500-$649,0,0,0,0,4,0,0,0,0,10,Ensay
$650-$799,0,0,0,0,0,0,4,4,0,16,Ensay
$800-$999 ,0,0,3,0,4,4,0,0,0,11,Ensay
"$1,000-$1,249",0,0,4,0,0,0,0,0,0,9,Ensay
"$1,250-$1,499",0,0,4,0,0,4,0,0,0,10,Ensay
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Ensay
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Ensay
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Ensay
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Ensay
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Ensay
Personal income not stated,0,0,0,0,0,0,3,3,0,12,Ensay
Total,0,4,14,6,24,31,29,20,7,135,Ensay
Negative/Nil income,0,0,4,0,0,9,6,0,0,10,Mundoona
$1-$149,4,0,0,0,0,0,0,0,0,8,Mundoona
$150-$299,0,0,0,0,0,0,0,0,0,0,Mundoona
$300-$399,0,0,0,6,0,0,9,5,0,13,Mundoona
$400-$499,0,0,0,0,0,0,0,0,0,8,Mundoona
$500-$649,0,0,0,0,0,0,3,0,0,5,Mundoona
$650-$799,0,0,0,0,0,0,0,0,0,11,Mundoona
$800-$999 ,0,0,0,0,0,0,0,0,0,3,Mundoona
"$1,000-$1,249",0,0,7,0,0,3,0,0,0,16,Mundoona
"$1,250-$1,499",0,0,3,0,0,0,0,0,0,6,Mundoona
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,5,Mundoona
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Mundoona
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Mundoona
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Mundoona
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Mundoona
Personal income not stated,4,0,0,0,0,3,3,0,0,17,Mundoona
Total,7,3,22,3,15,20,24,7,0,113,Mundoona
Negative/Nil income,0,0,0,0,0,3,0,0,0,5,Yundool
$1-$149,0,0,0,0,0,0,0,0,0,0,Yundool
$150-$299,0,0,0,0,0,0,0,0,0,0,Yundool
$300-$399,0,0,0,0,0,0,8,6,0,11,Yundool
$400-$499,0,0,0,0,0,0,0,0,0,0,Yundool
$500-$649,0,0,0,0,0,0,0,0,0,5,Yundool
$650-$799,0,0,0,0,0,0,0,0,0,0,Yundool
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Yundool
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,6,Yundool
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Yundool
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Yundool
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,5,Yundool
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,4,Yundool
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Yundool
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Yundool
Personal income not stated,0,0,0,0,0,0,0,0,0,7,Yundool
Total,0,0,6,12,4,11,7,4,0,45,Yundool
Negative/Nil income,10,3,6,8,9,21,17,3,0,70,Grantville
$1-$149,13,0,0,0,4,4,9,3,0,36,Grantville
$150-$299,8,3,8,4,11,13,15,6,3,61,Grantville
$300-$399,0,4,3,4,4,27,55,14,0,111,Grantville
$400-$499,5,3,11,3,9,16,31,25,3,105,Grantville
$500-$649,0,9,12,3,16,18,27,7,0,93,Grantville
$650-$799,0,5,6,8,17,6,9,9,5,71,Grantville
$800-$999 ,0,9,13,9,14,16,17,0,0,81,Grantville
"$1,000-$1,249",0,6,26,12,21,16,4,4,0,83,Grantville
"$1,250-$1,499",0,9,13,12,13,13,12,5,0,74,Grantville
"$1,500-$1,749",0,6,7,9,7,12,6,0,0,46,Grantville
"$1,750-$1,999",0,0,4,8,0,7,3,0,0,28,Grantville
"$2,000-$2,999",0,0,4,10,10,9,0,0,0,31,Grantville
"$3,000-$3,499",0,0,0,3,0,3,0,0,0,10,Grantville
"$3,500 or more",0,0,3,0,8,5,0,0,0,17,Grantville
Personal income not stated,4,0,10,10,16,11,16,17,3,97,Grantville
Total,33,51,120,115,163,208,222,86,17,1017,Grantville
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Bagshot North
$1-$149,0,0,0,0,0,0,0,0,0,0,Bagshot North
$150-$299,0,0,0,0,0,0,0,0,0,0,Bagshot North
$300-$399,0,0,0,0,0,0,4,0,0,6,Bagshot North
$400-$499,0,0,0,0,0,0,0,0,0,3,Bagshot North
$500-$649,0,0,0,0,0,0,0,0,0,4,Bagshot North
$650-$799,0,0,0,0,0,0,0,0,0,5,Bagshot North
$800-$999 ,0,0,0,0,0,0,0,5,0,4,Bagshot North
"$1,000-$1,249",0,0,0,0,0,3,0,0,0,8,Bagshot North
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Bagshot North
"$1,500-$1,749",0,0,0,0,6,0,0,0,0,3,Bagshot North
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Bagshot North
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Bagshot North
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Bagshot North
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Bagshot North
Personal income not stated,0,0,0,3,0,0,0,0,0,3,Bagshot North
Total,0,0,4,7,11,8,5,8,5,42,Bagshot North
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Wandella (Vic.)
$1-$149,0,0,0,0,0,0,0,0,0,0,Wandella (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,0,Wandella (Vic.)
$300-$399,0,0,0,0,0,0,6,0,0,11,Wandella (Vic.)
$400-$499,0,0,3,0,0,3,0,0,0,4,Wandella (Vic.)
$500-$649,0,0,0,0,0,0,3,0,0,3,Wandella (Vic.)
$650-$799,0,0,0,4,0,0,0,0,0,5,Wandella (Vic.)
$800-$999 ,0,0,0,0,0,3,0,0,0,3,Wandella (Vic.)
"$1,000-$1,249",0,0,0,5,0,0,0,0,0,3,Wandella (Vic.)
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Wandella (Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,3,Wandella (Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Wandella (Vic.)
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,3,Wandella (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Wandella (Vic.)
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Wandella (Vic.)
Personal income not stated,0,0,0,0,0,4,4,0,0,7,Wandella (Vic.)
Total,0,0,11,5,3,13,14,0,0,51,Wandella (Vic.)
Negative/Nil income,28,8,3,0,8,18,16,4,0,75,Nar Nar Goon
$1-$149,16,0,0,7,3,0,3,6,0,27,Nar Nar Goon
$150-$299,11,4,5,5,6,7,6,0,0,37,Nar Nar Goon
$300-$399,4,3,3,3,0,15,22,8,4,60,Nar Nar Goon
$400-$499,4,3,3,0,4,16,14,4,0,55,Nar Nar Goon
$500-$649,6,9,7,9,11,10,7,3,0,74,Nar Nar Goon
$650-$799,3,5,5,11,17,8,7,3,0,63,Nar Nar Goon
$800-$999 ,0,11,19,14,8,14,7,0,0,79,Nar Nar Goon
"$1,000-$1,249",0,4,17,11,14,20,12,0,0,84,Nar Nar Goon
"$1,250-$1,499",0,3,13,13,13,15,5,0,0,69,Nar Nar Goon
"$1,500-$1,749",0,0,9,3,22,8,0,0,0,45,Nar Nar Goon
"$1,750-$1,999",0,0,6,0,9,4,0,0,0,25,Nar Nar Goon
"$2,000-$2,999",0,0,15,9,19,6,4,0,0,51,Nar Nar Goon
"$3,000-$3,499",0,0,6,0,0,0,0,0,0,6,Nar Nar Goon
"$3,500 or more",0,0,0,5,0,7,0,0,0,16,Nar Nar Goon
Personal income not stated,6,0,11,11,16,16,4,0,0,70,Nar Nar Goon
Total,69,55,130,113,153,171,111,27,10,827,Nar Nar Goon
Negative/Nil income,9,4,0,0,4,0,0,0,0,19,Pheasant Creek (Vic.)
$1-$149,3,0,0,0,0,0,0,0,0,11,Pheasant Creek (Vic.)
$150-$299,3,3,4,4,0,3,0,0,0,16,Pheasant Creek (Vic.)
$300-$399,0,0,0,0,0,4,3,0,0,13,Pheasant Creek (Vic.)
$400-$499,0,0,3,3,0,4,0,0,0,19,Pheasant Creek (Vic.)
$500-$649,3,0,5,0,0,3,0,0,0,14,Pheasant Creek (Vic.)
$650-$799,4,0,0,0,0,3,5,0,0,12,Pheasant Creek (Vic.)
$800-$999 ,0,0,0,0,3,4,9,0,0,18,Pheasant Creek (Vic.)
"$1,000-$1,249",0,0,3,4,3,3,0,0,0,19,Pheasant Creek (Vic.)
"$1,250-$1,499",0,0,0,5,8,6,0,0,0,15,Pheasant Creek (Vic.)
"$1,500-$1,749",0,0,3,3,9,6,0,0,0,28,Pheasant Creek (Vic.)
"$1,750-$1,999",0,0,5,8,3,0,0,0,0,14,Pheasant Creek (Vic.)
"$2,000-$2,999",0,0,3,10,4,4,0,0,0,22,Pheasant Creek (Vic.)
"$3,000-$3,499",0,0,0,5,0,0,0,0,0,4,Pheasant Creek (Vic.)
"$3,500 or more",0,0,0,0,0,3,0,0,0,4,Pheasant Creek (Vic.)
Personal income not stated,8,3,0,12,13,10,9,6,0,55,Pheasant Creek (Vic.)
Total,23,19,27,56,60,50,37,10,0,284,Pheasant Creek (Vic.)
Negative/Nil income,6,0,4,0,0,0,0,0,0,15,Moorabool
$1-$149,0,0,0,0,0,0,0,0,0,4,Moorabool
$150-$299,0,0,0,0,0,0,0,0,0,0,Moorabool
$300-$399,0,0,0,0,0,0,0,4,0,0,Moorabool
$400-$499,0,0,0,0,0,0,0,0,0,0,Moorabool
$500-$649,0,5,0,3,0,0,0,0,0,14,Moorabool
$650-$799,0,0,0,0,0,0,0,0,0,0,Moorabool
$800-$999 ,0,0,0,0,0,3,0,0,0,0,Moorabool
"$1,000-$1,249",0,0,4,3,3,0,0,0,0,19,Moorabool
"$1,250-$1,499",0,0,0,0,0,3,0,0,0,4,Moorabool
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Moorabool
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Moorabool
"$2,000-$2,999",0,0,0,0,4,0,0,0,0,0,Moorabool
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,5,Moorabool
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Moorabool
Personal income not stated,0,0,0,0,0,0,0,0,0,7,Moorabool
Total,7,5,13,12,16,20,4,8,0,77,Moorabool
Negative/Nil income,0,0,0,0,0,0,0,0,0,3,Darlington (Vic.)
$1-$149,5,0,0,0,0,0,0,0,0,0,Darlington (Vic.)
$150-$299,0,0,0,0,0,0,0,0,0,3,Darlington (Vic.)
$300-$399,0,0,0,0,0,0,4,0,0,4,Darlington (Vic.)
$400-$499,3,0,0,0,0,0,3,0,0,10,Darlington (Vic.)
$500-$649,0,0,0,0,3,3,0,0,0,5,Darlington (Vic.)
$650-$799,0,0,5,0,0,3,0,0,0,4,Darlington (Vic.)
$800-$999 ,0,0,0,0,5,4,0,0,0,13,Darlington (Vic.)
"$1,000-$1,249",0,0,3,0,0,0,0,0,0,6,Darlington (Vic.)
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Darlington (Vic.)
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,3,Darlington (Vic.)
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,4,Darlington (Vic.)
"$2,000-$2,999",0,0,0,0,5,0,0,0,0,0,Darlington (Vic.)
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Darlington (Vic.)
"$3,500 or more",0,0,0,0,4,0,0,0,0,4,Darlington (Vic.)
Personal income not stated,0,0,4,0,0,0,6,0,0,14,Darlington (Vic.)
Total,3,3,13,5,17,12,14,8,0,76,Darlington (Vic.)
Negative/Nil income,23,4,8,6,11,3,10,0,0,66,Katunga
$1-$149,11,0,0,0,0,4,0,0,0,24,Katunga
$150-$299,4,7,0,0,3,6,10,6,0,37,Katunga
$300-$399,5,0,7,13,6,5,26,10,0,74,Katunga
$400-$499,3,4,5,4,6,11,10,10,3,64,Katunga
$500-$649,6,4,15,19,10,9,12,0,0,72,Katunga
$650-$799,0,8,14,4,11,14,7,3,0,71,Katunga
$800-$999 ,0,10,33,10,19,20,10,0,0,105,Katunga
"$1,000-$1,249",0,7,19,26,9,12,7,0,0,80,Katunga
"$1,250-$1,499",0,5,11,9,13,13,3,0,0,53,Katunga
"$1,500-$1,749",0,4,3,16,14,10,5,0,0,49,Katunga
"$1,750-$1,999",0,0,3,7,0,8,0,0,0,15,Katunga
"$2,000-$2,999",0,0,4,6,4,3,0,0,0,16,Katunga
"$3,000-$3,499",0,0,0,0,6,0,0,6,0,10,Katunga
"$3,500 or more",0,0,0,3,0,0,0,0,0,6,Katunga
Personal income not stated,7,5,12,18,20,10,8,10,3,91,Katunga
Total,71,64,133,140,133,130,111,37,12,827,Katunga
Negative/Nil income,0,0,0,0,0,0,0,0,0,0,Boorool
$1-$149,5,0,0,0,0,0,0,0,0,5,Boorool
$150-$299,0,0,0,0,0,0,0,4,0,5,Boorool
$300-$399,0,0,0,0,0,0,0,0,0,4,Boorool
$400-$499,0,0,0,0,0,0,0,0,0,0,Boorool
$500-$649,0,0,0,0,0,0,0,0,0,5,Boorool
$650-$799,0,0,0,0,0,4,0,0,0,8,Boorool
$800-$999 ,0,0,0,0,0,0,0,0,0,0,Boorool
"$1,000-$1,249",0,0,0,0,0,0,0,0,0,0,Boorool
"$1,250-$1,499",0,0,0,0,3,0,0,0,0,8,Boorool
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,0,Boorool
"$1,750-$1,999",0,0,0,4,0,0,0,0,0,3,Boorool
"$2,000-$2,999",0,0,3,0,0,0,0,0,0,6,Boorool
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Boorool
"$3,500 or more",0,0,0,0,0,0,0,0,0,7,Boorool
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Boorool
Total,4,0,7,3,5,7,8,3,0,45,Boorool
Negative/Nil income,0,0,0,4,0,0,3,0,0,10,Chocolyn
$1-$149,0,0,0,0,0,0,0,0,0,0,Chocolyn
$150-$299,0,0,0,0,0,0,4,0,0,6,Chocolyn
$300-$399,0,0,0,0,0,3,6,0,0,6,Chocolyn
$400-$499,0,0,0,0,0,0,0,0,0,5,Chocolyn
$500-$649,0,0,0,0,0,4,0,0,0,5,Chocolyn
$650-$799,0,0,0,0,0,0,0,0,0,4,Chocolyn
$800-$999 ,0,0,6,0,0,0,3,0,0,7,Chocolyn
"$1,000-$1,249",0,0,0,0,6,0,0,0,0,8,Chocolyn
"$1,250-$1,499",0,0,0,0,0,0,0,0,0,0,Chocolyn
"$1,500-$1,749",0,0,0,0,0,0,0,0,0,3,Chocolyn
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Chocolyn
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,0,Chocolyn
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Chocolyn
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Chocolyn
Personal income not stated,0,5,0,0,0,0,0,0,0,0,Chocolyn
Total,4,5,7,4,7,8,15,3,0,58,Chocolyn
Negative/Nil income,410,72,92,107,119,138,124,51,24,1139,Lilydale (Vic.)
$1-$149,288,53,27,31,45,62,68,12,13,588,Lilydale (Vic.)
$150-$299,136,88,47,55,64,78,102,57,19,652,Lilydale (Vic.)
$300-$399,49,79,80,78,101,126,246,235,60,1046,Lilydale (Vic.)
$400-$499,41,81,77,89,99,116,262,274,127,1167,Lilydale (Vic.)
$500-$649,68,90,106,133,153,168,226,150,69,1155,Lilydale (Vic.)
$650-$799,26,160,156,137,171,170,157,92,30,1094,Lilydale (Vic.)
$800-$999 ,27,153,246,176,196,204,143,45,11,1206,Lilydale (Vic.)
"$1,000-$1,249",8,119,362,258,276,259,104,38,11,1437,Lilydale (Vic.)
"$1,250-$1,499",0,69,297,162,245,186,57,17,5,1042,Lilydale (Vic.)
"$1,500-$1,749",5,35,266,205,217,164,53,6,3,957,Lilydale (Vic.)
"$1,750-$1,999",0,17,163,175,154,113,32,4,0,651,Lilydale (Vic.)
"$2,000-$2,999",0,8,220,304,300,198,37,3,5,1069,Lilydale (Vic.)
"$3,000-$3,499",0,4,29,46,70,34,6,0,6,199,Lilydale (Vic.)
"$3,500 or more",0,5,20,74,86,69,5,4,3,269,Lilydale (Vic.)
Personal income not stated,26,45,107,95,102,118,92,80,38,702,Lilydale (Vic.)
Total,1077,1065,2302,2132,2405,2194,1708,1068,425,14376,Lilydale (Vic.)
Negative/Nil income,0,0,0,0,0,0,7,0,0,7,Samaria
$1-$149,0,0,0,0,0,0,0,0,0,0,Samaria
$150-$299,0,0,0,0,0,0,0,4,0,3,Samaria
$300-$399,0,0,0,0,0,0,0,0,0,0,Samaria
$400-$499,0,0,0,0,0,0,3,0,0,3,Samaria
$500-$649,0,0,0,0,4,0,0,0,0,8,Samaria
$650-$799,0,0,0,0,0,0,0,0,0,0,Samaria
$800-$999 ,0,0,0,0,0,0,0,0,0,5,Samaria
"$1,000-$1,249",0,0,0,0,0,3,3,0,0,8,Samaria
"$1,250-$1,499",0,0,0,0,0,3,0,0,0,3,Samaria
"$1,500-$1,749",0,0,0,0,0,0,0,3,0,4,Samaria
"$1,750-$1,999",0,0,0,0,0,0,0,0,0,0,Samaria
"$2,000-$2,999",0,0,0,0,0,0,0,0,0,4,Samaria
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Samaria
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Samaria
Personal income not stated,0,0,0,0,0,0,0,0,0,0,Samaria
Total,0,0,6,5,9,9,15,8,0,51,Samaria
Negative/Nil income,3,0,0,0,0,8,0,0,0,4,Kialla East
$1-$149,5,0,0,0,0,0,0,0,0,0,Kialla East
$150-$299,0,0,3,0,0,0,0,0,0,11,Kialla East
$300-$399,0,0,0,0,3,5,3,0,0,9,Kialla East
$400-$499,0,0,0,0,0,0,3,0,0,7,Kialla East
$500-$649,0,0,0,0,0,3,0,3,0,4,Kialla East
$650-$799,3,0,0,5,0,0,0,0,0,20,Kialla East
$800-$999 ,0,3,0,4,0,0,0,0,0,5,Kialla East
"$1,000-$1,249",0,4,5,0,0,6,0,0,0,15,Kialla East
"$1,250-$1,499",0,0,3,0,0,0,5,0,0,11,Kialla East
"$1,500-$1,749",0,0,5,5,4,5,0,0,0,18,Kialla East
"$1,750-$1,999",0,0,0,3,5,0,0,0,0,9,Kialla East
"$2,000-$2,999",0,0,0,3,5,5,0,0,0,4,Kialla East
"$3,000-$3,499",0,0,0,0,0,0,0,0,0,0,Kialla East
"$3,500 or more",0,0,0,0,0,0,0,0,0,0,Kialla East
Personal income not stated,0,0,4,0,5,0,0,0,0,17,Kialla East
Total,9,5,15,27,21,31,21,6,3,140,Kialla East
Negative/Nil income,53,0,7,10,6,19,8,0,0,101,Kangaroo Ground
$1-$149,26,3,0,3,7,4,4,0,0,48,Kangaroo Ground
$150-$299,17,5,3,0,3,3,4,6,0,42,Kangaroo Ground
$300-$399,3,9,5,10,8,9,12,4,3,59,Kangaroo Ground
$400-$499,0,9,6,0,5,10,13,11,6,51,Kangaroo Ground
$500-$649,3,10,5,5,6,14,14,7,4,69,Kangaroo Ground
$650-$799,0,11,0,6,17,14,11,14,0,66,Kangaroo Ground
$800-$999 ,6,3,3,5,9,11,8,4,0,50,Kangaroo Ground
"$1,000-$1,249",0,12,10,9,10,17,11,4,0,74,Kangaroo Ground
"$1,250-$1,499",0,8,4,5,15,8,6,0,0,52,Kangaroo Ground
"$1,500-$1,749",0,0,10,3,11,20,10,9,0,65,Kangaroo Ground
"$1,750-$1,999",0,0,6,3,8,7,3,4,0,29,Kangaroo Ground
"$2,000-$2,999",0,0,9,20,30,17,3,4,0,74,Kangaroo Ground
"$3,000-$3,499",0,0,0,14,16,9,4,0,0,50,Kangaroo Ground
"$3,500 or more",0,0,4,19,35,27,6,0,0,88,Kangaroo Ground
Personal income not stated,10,8,9,10,15,13,8,5,0,85,Kangaroo Ground
Total,123,78,84,123,197,192,127,67,11,1006,Kangaroo Ground
Negative/Nil income,3,0,0,6,0,10,9,4,0,36,Shoreham
$1-$149,7,0,0,0,0,4,0,0,0,10,Shoreham
$150-$299,0,0,3,0,3,3,4,0,0,20,Shoreham
$300-$399,0,0,3,0,0,4,5,3,0,16,Shoreham
$400-$499,0,0,0,0,0,6,8,10,25,51,Shoreham
$500-$649,0,0,3,0,6,9,14,10,16,56,Shoreham
$650-$799,0,5,4,0,0,3,16,3,4,35,Shoreham
$800-$999 ,0,0,3,3,8,14,11,6,3,43,Shoreham
"$1,000-$1,249",0,3,6,6,6,3,4,9,0,41,Shoreham
"$1,250-$1,499",0,0,8,0,5,10,14,3,0,35,Shoreham
"$1,500-$1,749",0,0,3,6,7,4,7,3,0,37,Shoreham
"$1,750-$1,999",0,0,0,4,5,7,4,5,0,27,Shoreham
"$2,000-$2,999",0,0,0,3,9,10,14,6,0,48,Shoreham
